#dark
    J        L
    1        1E-30
    2        1E-30
    3        1E-30
    4        1E-30
    5        1E-30
    6        1E-30
    7        1E-30
    8        1E-30
   11        1E-30
   12        1E-30
   13        1E-30
   14        1E-30
   15        1E-30
   16        1E-30
   17        1E-30
   18        1E-30
   19        1E-30
   21        1E-30
   22        1E-30
   23        1E-30
   24        1E-30
   31        1E-30
   32        1E-30
   33        1E-30
   34        1E-30
   35        1E-30
   41        1E-30
   51        1E-30
   52        1E-30
   53        1E-30
   54        1E-30
   55        1E-30
   56        1E-30
   57        1E-30
   61        1E-30
