1
    J        L
    1        9.75570963221777e-05
    2        0.000517269574814793
    3        1.37600144496819e-05
    4        0.0152153711997521
    5        0.0276840864728537
    6        0.197961034750775
    7        0.00352645431210223
    8        1.26581830946863e-06
   11        6.60710316781878e-05
   12        9.46581144975628e-05
   13        1.11438040549953e-05
   14        4.11831052136163e-05
   15        3.91477628550765e-05
   16        2.34858534320391e-05
   17        0.000113888333308468
   18        1.53576443818269e-05
   19        1.53576443818269e-05
   21        1.04797103625136e-06
   22        8.4616766115906e-06
   23        2.46844720794365e-05
   24        2.46844720794365e-05
   31        8.36886656313067e-05
   32        1.26174876452167e-05
   33        5.19412014289808e-05
   34        0.000189237464159661
   35        0.000412378066930912
   41        1.01105043732581e-05
   51        2.18250950282937e-06
   52        2.66587231461924e-06
   53        3.44964959613919e-06
   54        5.61682589678864e-06
   55        1.54594079052138e-05
   56        1.0437604521445e-05
   57        4.64055250154422e-06
   61        0.000983378813732338
